snapped_at,price,market_cap,total_volume
2024-09-30 00:00:00 UTC,0.013096964221041132,0.0,62545.478723921995
2024-10-01 00:00:00 UTC,0.013093841845838948,0.0,62456.92351285201
2024-10-02 00:00:00 UTC,0.01136870292386868,0.0,60069.524363785225
2024-10-03 00:00:00 UTC,0.011668645144828247,9334909.968108434,68657.76882407725
2024-10-04 00:00:00 UTC,0.011263186713763602,9010543.436876953,67475.26784422362
2024-10-05 00:00:00 UTC,0.01175470230049455,9418380.216752313,64233.84719165058
2024-10-06 00:00:00 UTC,0.01195955840297227,9567640.421352796,39219.247764975196
2024-10-07 00:00:00 UTC,0.012162815675841205,9730246.132559609,17659.9975014079
2024-10-08 00:00:00 UTC,0.012809787629535928,10247823.354651095,48268.74292203443
2024-10-09 00:00:00 UTC,0.012683214903640085,10148037.034220377,62539.08106730547
2024-10-10 00:00:00 UTC,0.012659787180390607,10128111.118041001,66747.14087768854
2024-10-11 00:00:00 UTC,0.012292171542062432,9833730.75738403,37735.56975175763
2024-10-12 00:00:00 UTC,0.012284870049538089,23072509.277778618,135.0189527073568
2024-10-13 00:00:00 UTC,0.012166770501800697,22850703.682775613,547.4550321573839
2024-10-14 00:00:00 UTC,0.012228254986330919,22965277.085941106,40867.76888397403
2024-10-15 00:00:00 UTC,0.012141972188537409,22804129.375474572,642.9205842958248
2024-10-16 00:00:00 UTC,0.005983994734524255,11253318.06341548,179283.26468421833
2024-10-17 00:00:00 UTC,0.005929715129636535,11136740.298548568,3712.6278490701607
2024-10-18 00:00:00 UTC,0.004927875620810185,9255693.68338529,7104.693320664095
2024-10-19 00:00:00 UTC,0.006693867722872556,12572582.306465631,6305.444936432456
2024-10-20 00:00:00 UTC,0.007032470655210437,13208852.857491042,2890.2138617655305
2024-10-21 00:00:00 UTC,0.007241864193712735,13597763.308063576,2151.326619228348
2024-10-22 00:00:00 UTC,0.006980265558230169,13110558.140475325,1171.9834461073442
2024-10-23 00:00:00 UTC,0.007047772178281334,13237351.234472195,1014.4380031341517
2024-10-24 00:00:00 UTC,0.007090400989965164,13312637.778203214,8186.200270009182
2024-10-25 00:00:00 UTC,0.007127837715862704,13397538.930509144,511.2337535271873
2024-10-26 00:00:00 UTC,0.006696885705325708,12615704.223827725,4518.615742839808
2024-10-27 00:00:00 UTC,0.006806418747777921,12821945.151958149,2378.7917596942752
2024-10-28 00:00:00 UTC,0.006600419719557931,12432875.463906795,1373.824561268227
2024-10-29 00:00:00 UTC,0.006316029839457192,11965482.98893407,2563.1997779033923
2024-10-30 00:00:00 UTC,0.006213394085486296,13089674.699678285,2628.8015412666355
2024-10-31 00:00:00 UTC,0.0058391062853036125,12304948.818690272,2680.708003515233
2024-11-01 00:00:00 UTC,0.005852430068540435,12333026.483796842,639.1146841592589
2024-11-02 00:00:00 UTC,0.005883341936911802,12397250.740367038,1101.0210827585809
2024-11-03 00:00:00 UTC,0.005921905521482114,12474749.864474108,720.8625443857478
2024-11-04 00:00:00 UTC,0.005841703400022212,12293107.017482849,819.8622757290133
2024-11-05 00:00:00 UTC,0.00582691380431656,12279255.185591636,281.46895477923533
2024-11-06 00:00:00 UTC,0.003527352356163744,7445858.9098487655,33813.83034151341
2024-11-07 00:00:00 UTC,0.003507958710665164,7399944.939768089,2189.2433641932053
2024-11-08 00:00:00 UTC,0.003486752031836519,6371028.180412787,1158.98989002368
2024-11-09 00:00:00 UTC,0.003411490990035062,6232843.889318023,2476.6413080576003
2024-11-10 00:00:00 UTC,0.003281727021610034,6000639.267588795,460.2566686621407
2024-11-11 00:00:00 UTC,0.00386237869034591,7046140.743998401,4433.788611118623
2024-11-12 00:00:00 UTC,0.003893097659332721,7113506.974525902,724.3121821030335
2024-11-13 00:00:00 UTC,0.003888674159552302,7105424.31149165,3.0375600462510897
2024-11-14 00:00:00 UTC,0.0036158589905579226,6606933.70652424,768.9739201035716
2024-11-15 00:00:00 UTC,0.003505520290654357,6405321.730661638,582.2944035567674
2024-11-16 00:00:00 UTC,0.003320156446548092,6064287.2657080805,599.7962225382524
2024-11-17 00:00:00 UTC,0.00309048219744492,5646092.84361121,1350.7002509744623
2024-11-18 00:00:00 UTC,0.003061061140122408,5593201.526170598,580.9452026723696
2024-11-19 00:00:00 UTC,0.0030241802179220892,5525812.336313007,167.6281320696645
2024-11-20 00:00:00 UTC,0.003023399771743209,5524386.297250412,60.70291359712862
2024-11-21 00:00:00 UTC,0.002882013807190538,5259436.976767789,1193.640373028365
2024-11-22 00:00:00 UTC,0.0028414680730978175,5191958.8781491015,781.1661449563081
2024-11-23 00:00:00 UTC,0.003034435353011696,5544034.634963073,1471.1273648297718
2024-11-24 00:00:00 UTC,0.003329395864294437,6083505.417553684,2538.8114725277514
2024-11-25 00:00:00 UTC,0.003229772828121947,5901473.209618288,1912.6909766416989
2024-11-26 00:00:00 UTC,0.0032794383711506484,5992222.586501076,312.52044168924107
2024-11-27 00:00:00 UTC,0.0031660476773370475,5785033.976845794,1017.6838541249318
2024-11-28 00:00:00 UTC,0.0027993223980690633,5114949.879275301,3883.0008436576363
2024-11-29 00:00:00 UTC,0.00239120262059917,4367631.538545293,3755.4778333861436
2024-11-30 00:00:00 UTC,0.0025632708268338673,4680188.441474821,3967.3192629214504
